16:23, Wednesday, February 18, 2026
17129  ,94.4293  ,36.5699  ,-99.2819  ,2.36796e+08
57206  ,94.2081  ,36.4912  ,-99.0134  ,2.36731e+08
30016  ,93.6775  ,46.2313  ,-97.4043  ,2.36728e+08
897  ,93.2929  ,46.2663  ,-98.4817  ,2.36727e+08
17131  ,94.3432  ,36.5404  ,-99.2744  ,2.36724e+08
29240  ,93.5328  ,46.25  ,-97.4895  ,2.36682e+08
63773  ,94.2747  ,46.0752  ,-98.5585  ,2.36677e+08
43123  ,94.3088  ,46.0752  ,-98.1686  ,2.36676e+08
6168  ,94.1628  ,46.1308  ,-97.5446  ,2.36592e+08
63017  ,95.0034  ,36.7424  ,-97.6182  ,2.36535e+08
46181  ,95.076  ,36.8263  ,-98.7851  ,2.36458e+08
39412  ,94.8862  ,36.6866  ,-97.5101  ,2.36434e+08
54852  ,94.5439  ,36.555  ,-97.4801  ,2.36412e+08
14007  ,94.313  ,46.0779  ,-98.0171  ,2.36393e+08
21519  ,94.1472  ,36.4662  ,-98.7021  ,2.36279e+08
66767  ,94.0464  ,46.1246  ,-99.1505  ,2.36264e+08
79  ,95.1342  ,36.8404  ,-98.4378  ,2.36192e+08
23651  ,93.9054  ,46.1574  ,-99.2361  ,2.36188e+08
73  ,94.1165  ,36.4497  ,-98.3487  ,2.36182e+08
65639  ,94.3438  ,46.0618  ,-98.2696  ,2.36116e+08
56282  ,94.4569  ,36.5261  ,-97.4725  ,2.36098e+08
294  ,94.4047  ,36.5123  ,-97.5658  ,2.36091e+08
62229  ,93.3284  ,46.2675  ,-97.9311  ,2.36089e+08
40175  ,94.7679  ,36.7035  ,-99.3116  ,2.36078e+08
29239  ,93.5868  ,46.2442  ,-97.3964  ,2.36074e+08
943  ,93.4225  ,46.2463  ,-99.0938  ,2.36059e+08
4494  ,93.9117  ,46.1919  ,-97.327  ,2.36031e+08
438  ,94.5489  ,36.6171  ,-99.3904  ,2.36013e+08
39413  ,94.9701  ,36.7234  ,-97.5174  ,2.35972e+08
752  ,93.6742  ,46.204  ,-99.3139  ,2.35957e+08
61248  ,94.3267  ,46.0618  ,-98.4651  ,2.35921e+08
145  ,94.6818  ,36.6014  ,-97.3944  ,2.35910e+08
46039  ,94.7674  ,36.6343  ,-97.4018  ,2.35909e+08
37633  ,94.0995  ,36.4497  ,-98.5432  ,2.35895e+08
38286  ,93.2741  ,46.2703  ,-98.177  ,2.35883e+08
23643  ,93.7635  ,46.1866  ,-99.3217  ,2.35870e+08
21240  ,94.4636  ,36.5852  ,-99.3829  ,2.35864e+08
51564  ,93.8216  ,46.2089  ,-97.3191  ,2.35843e+08
54866  ,95.1231  ,36.8123  ,-97.9275  ,2.35815e+08
66418  ,94.2514  ,46.1071  ,-97.5524  ,2.35814e+08
21252  ,94.2216  ,36.4992  ,-99.1658  ,2.35808e+08
22819  ,93.4587  ,46.2403  ,-99.1959  ,2.35806e+08
40763  ,95.1172  ,36.8404  ,-98.6322  ,2.35763e+08
38272  ,93.2566  ,46.2703  ,-98.376  ,2.35738e+08
42392  ,94.1269  ,46.142  ,-97.4436  ,2.35719e+08
58801  ,94.0014  ,46.1732  ,-97.3348  ,2.35718e+08
54358  ,95.1512  ,36.8404  ,-98.2433  ,2.35701e+08
44508  ,93.2682  ,46.2663  ,-98.7747  ,2.35700e+08
13506  ,94.6336  ,36.6505  ,-99.3978  ,2.35695e+08
21251  ,94.2566  ,36.5125  ,-99.2668  ,2.35687e+08
66714  ,93.5846  ,46.2198  ,-99.306  ,2.35656e+08
40755  ,94.2467  ,36.4695  ,-97.7024  ,2.35644e+08
60814  ,94.5957  ,36.5701  ,-97.3868  ,2.35631e+08
39224  ,94.9008  ,36.7599  ,-99.2252  ,2.35592e+08
27075  ,94.1336  ,36.4497  ,-98.1542  ,2.35588e+08
36708  ,94.1552  ,36.4519  ,-98.0005  ,2.35585e+08
144  ,94.8524  ,36.6688  ,-97.4093  ,2.35553e+08
1077  ,94.2463  ,46.075  ,-98.8895  ,2.35549e+08
439  ,94.3778  ,36.555  ,-99.3754  ,2.35488e+08
753  ,93.8525  ,46.1675  ,-99.3295  ,2.35417e+08
682  ,94.107  ,36.4589  ,-98.8533  ,2.35414e+08
56285  ,94.3169  ,36.4858  ,-97.5581  ,2.35413e+08
66143  ,93.9938  ,46.1359  ,-99.2438  ,2.35285e+08
40764  ,95.1661  ,36.8615  ,-98.5385  ,2.35270e+08
4493  ,93.7313  ,46.2243  ,-97.3112  ,2.35261e+08
22788  ,93.3333  ,46.2571  ,-99.0746  ,2.35247e+08
66086  ,93.2023  ,46.2739  ,-98.4702  ,2.35210e+08
6234  ,93.3288  ,46.2686  ,-97.7784  ,2.35140e+08
4495  ,94.0908  ,46.1528  ,-97.3427  ,2.35062e+08
10234  ,93.3853  ,46.2647  ,-97.63  ,2.35059e+08
6122  ,94.3958  ,46.0481  ,-98.1751  ,2.35058e+08
146  ,94.5089  ,36.5404  ,-97.3792  ,2.35051e+08
62228  ,93.2373  ,46.2738  ,-98.0758  ,2.35043e+08
37718  ,94.064  ,36.4384  ,-98.4421  ,2.35036e+08
39225  ,94.851  ,36.7407  ,-99.3188  ,2.35012e+08
52137  ,94.1903  ,46.088  ,-99.0238  ,2.34988e+08
28531  ,94.081  ,36.4384  ,-98.2476  ,2.34975e+08
751  ,93.4947  ,46.2339  ,-99.2981  ,2.34972e+08
935  ,94.1342  ,46.1007  ,-99.1581  ,2.34909e+08
65470  ,93.6407  ,46.238  ,-97.3033  ,2.34907e+08
43743  ,95.1831  ,36.8615  ,-98.344  ,2.34871e+08
66317  ,94.304  ,46.0617  ,-98.7278  ,2.34862e+08
437  ,94.7176  ,36.6854  ,-99.4051  ,2.34855e+08
26778  ,94.1206  ,36.4662  ,-99.0057  ,2.34837e+08
39411  ,94.9367  ,36.7048  ,-97.4167  ,2.34825e+08
66765  ,94.0818  ,46.1128  ,-99.2515  ,2.34821e+08
65638  ,94.3786  ,46.0481  ,-98.3717  ,2.34814e+08
47516  ,94.2914  ,36.5263  ,-99.3679  ,2.34753e+08
66764  ,93.9411  ,46.1469  ,-99.3372  ,2.34738e+08
830  ,93.2203  ,46.2738  ,-98.2703  ,2.34718e+08
54595  ,94.4  ,46.0509  ,-98.0237  ,2.34701e+08
56281  ,94.3694  ,36.4988  ,-97.4649  ,2.34660e+08
22812  ,93.3684  ,46.2519  ,-99.188  ,2.34644e+08
54981  ,94.0592  ,36.4428  ,-98.6944  ,2.34631e+08
54865  ,95.1803  ,36.8484  ,-98.0882  ,2.34630e+08
27828  ,94.2156  ,46.1192  ,-97.4514  ,2.34622e+08
288  ,95.0863  ,36.7815  ,-97.6254  ,2.34563e+08
6162  ,93.4417  ,46.2604  ,-97.4815  ,2.34523e+08
29236  ,93.4958  ,46.2554  ,-97.3884  ,2.34507e+08
15570  ,95.0495  ,36.8263  ,-99.0888  ,2.34399e+08
898  ,94.3616  ,46.0481  ,-98.5661  ,2.34396e+08
296  ,94.2287  ,36.4609  ,-97.5504  ,2.34327e+08
47518  ,94.801  ,36.7219  ,-99.4124  ,2.34268e+08
55327  ,94.0283  ,36.4274  ,-98.341  ,2.34266e+08
56280  ,94.4217  ,36.5123  ,-97.3716  ,2.34233e+08
45990  ,95.0535  ,36.7617  ,-97.5247  ,2.34214e+08
18950  ,93.1659  ,46.277  ,-98.3645  ,2.34148e+08
55791  ,93.4046  ,46.2463  ,-99.2903  ,2.34145e+08
39223  ,94.9333  ,36.7795  ,-99.326  ,2.34124e+08
44509  ,93.1658  ,46.2755  ,-98.6198  ,2.34092e+08
42391  ,94.1798  ,46.1308  ,-97.3504  ,2.34053e+08
63290  ,93.2791  ,46.2619  ,-99.1689  ,2.34039e+08
679  ,95.1158  ,36.8539  ,-98.9452  ,2.34023e+08
43741  ,95.2147  ,36.8829  ,-98.4448  ,2.33983e+08
57536  ,93.2377  ,46.2747  ,-97.9232  ,2.33982e+08
622  ,94.1342  ,36.4736  ,-99.1581  ,2.33978e+08
24370  ,94.304  ,46.0947  ,-97.4591  ,2.33961e+08
21253  ,94.1694  ,36.4862  ,-99.2592  ,2.33952e+08
4492  ,93.5498  ,46.25  ,-97.2953  ,2.33934e+08
23333  ,93.1834  ,46.2769  ,-98.1691  ,2.33929e+08
15172  ,94.2813  ,36.4732  ,-97.4572  ,2.33889e+08
235  ,95.2317  ,36.8829  ,-98.2503  ,2.33854e+08
6231  ,94.4042  ,46.0538  ,-97.8722  ,2.33853e+08
980  ,93.2439  ,46.2662  ,-99.0554  ,2.33799e+08
754  ,94.0294  ,46.1246  ,-99.3449  ,2.33743e+08
508  ,94.0113  ,36.4274  ,-98.5355  ,2.33743e+08
143  ,95.0204  ,36.7424  ,-97.424  ,2.33734e+08
40754  ,94.1582  ,36.4457  ,-97.6946  ,2.33713e+08
21571  ,94.4304  ,46.0339  ,-98.2772  ,2.33707e+08
16839  ,95.1686  ,36.8221  ,-97.6326  ,2.33691e+08
57283  ,94.2774  ,46.0617  ,-99.0314  ,2.33659e+08
245  ,94.0453  ,36.4274  ,-98.1465  ,2.33644e+08
440  ,94.2046  ,36.4992  ,-99.3602  ,2.33623e+08
632  ,94.9828  ,36.7994  ,-99.2324  ,2.33611e+08
16840  ,95.1887  ,36.839  ,-97.7828  ,2.33602e+08
501  ,95.1977  ,36.8829  ,-98.6393  ,2.33542e+08
63806  ,95.1568  ,36.8683  ,-98.7922  ,2.33527e+08
30308  ,94.4133  ,46.0339  ,-98.4727  ,2.33462e+08
36787  ,94.2215  ,46.0752  ,-99.1658  ,2.33425e+08
61414  ,94.1694  ,46.0881  ,-99.2592  ,2.33410e+08
6169  ,94.3395  ,46.0819  ,-97.5601  ,2.33335e+08
436  ,94.8838  ,36.7599  ,-99.4197  ,2.33320e+08
60036  ,93.4046  ,46.2649  ,-97.3805  ,2.33269e+08
27225  ,94.3719  ,46.0681  ,-97.7161  ,2.33259e+08
38726  ,94.0327  ,36.4428  ,-98.998  ,2.33253e+08
29768  ,93.294  ,46.2726  ,-97.622  ,2.33138e+08
750  ,93.3143  ,46.2572  ,-99.2824  ,2.33108e+08
32663  ,93.1295  ,46.2797  ,-98.2624  ,2.33105e+08
147  ,94.3339  ,36.4858  ,-97.3639  ,2.33095e+08
46175  ,95.2462  ,36.9047  ,-98.5455  ,2.32940e+08
25798  ,94.0464  ,36.4497  ,-99.1505  ,2.32921e+08
44813  ,93.3505  ,46.269  ,-97.4736  ,2.32906e+08
46105  ,94.0878  ,36.4312  ,-97.8389  ,2.32890e+08
66669  ,94.3906  ,46.0338  ,-98.7354  ,2.32888e+08
44504  ,93.1414  ,46.2755  ,-98.9066  ,2.32884e+08
63013  ,95.2606  ,36.8912  ,-98.0952  ,2.32872e+08
4496  ,94.2683  ,46.1071  ,-97.3582  ,2.32836e+08
43742  ,95.2632  ,36.9047  ,-98.3511  ,2.32828e+08
35779  ,93.9926  ,36.4169  ,-98.2399  ,2.32776e+08
16833  ,95.136  ,36.8016  ,-97.5319  ,2.32775e+08
27332  ,93.9755  ,36.4169  ,-98.4344  ,2.32737e+08
15568  ,95.0641  ,36.8405  ,-99.2395  ,2.32736e+08
60035  ,93.4587  ,46.2604  ,-97.2874  ,2.32712e+08
6109  ,93.1465  ,46.2797  ,-98.0679  ,2.32696e+08
896  ,93.1116  ,46.2797  ,-98.4586  ,2.32661e+08
43776  ,95.015  ,36.8198  ,-99.3332  ,2.32536e+08
21572  ,94.482  ,46.0194  ,-98.1839  ,2.32481e+08
15569  ,95.1302  ,36.8683  ,-99.0958  ,2.32480e+08
64734  ,93.1885  ,46.2702  ,-99.1609  ,2.32463e+08
66766  ,94.1171  ,46.1007  ,-99.3526  ,2.32424e+08
22796  ,93.1517  ,46.2738  ,-99.0597  ,2.32417e+08
65712  ,95.1033  ,36.7815  ,-97.4312  ,2.32374e+08
26780  ,94.0819  ,36.4615  ,-99.2515  ,2.32367e+08
15195  ,94.14  ,36.4377  ,-97.5426  ,2.32336e+08
62899  ,94.4593  ,46.0403  ,-97.7238  ,2.32310e+08
823  ,94.465  ,46.0194  ,-98.3792  ,2.32279e+08
15171  ,94.1929  ,36.4491  ,-97.4494  ,2.32261e+08
55341  ,94.1172  ,36.4736  ,-99.3526  ,2.32212e+08
30307  ,94.4479  ,46.0194  ,-98.5737  ,2.32105e+08
13804  ,94.3919  ,46.0686  ,-97.4668  ,2.32085e+08
287  ,95.25  ,36.8643  ,-97.6397  ,2.32066e+08
21596  ,94.4863  ,46.0224  ,-98.0324  ,2.31924e+08
16841  ,95.2698  ,36.8818  ,-97.7899  ,2.31820e+08
32673  ,93.0751  ,46.282  ,-98.3565  ,2.31806e+08
55351  ,94.9658  ,36.7994  ,-99.4268  ,2.31793e+08
18958  ,93.0926  ,46.2819  ,-98.1612  ,2.31683e+08
46018  ,95.2179  ,36.843  ,-97.5391  ,2.31682e+08
13808  ,94.4271  ,46.055  ,-97.5677  ,2.31664e+08
64735  ,93.2237  ,46.2663  ,-99.2744  ,2.31660e+08
65593  ,95.2368  ,36.9118  ,-98.7992  ,2.31657e+08
391  ,95.2895  ,36.8995  ,-97.9401  ,2.31646e+08
66117  ,93.9227  ,36.4068  ,-98.5277  ,2.31617e+08
15170  ,94.2457  ,36.4609  ,-97.3562  ,2.31596e+08
970  ,94.3084  ,46.0481  ,-99.1734  ,2.31585e+08
38720  ,93.9567  ,36.4068  ,-98.1388  ,2.31571e+08
44361  ,93.0751  ,46.2809  ,-98.6083  ,2.31520e+08
66140  ,94.364  ,46.0338  ,-99.039  ,2.31508e+08
6160  ,93.2591  ,46.276  ,-97.4656  ,2.31357e+08
24369  ,94.3565  ,46.0819  ,-97.3659  ,2.31335e+08
65561  ,93.9311  ,36.4148  ,-98.8379  ,2.31331e+08
45323  ,95.3115  ,36.9269  ,-98.2573  ,2.31322e+08
80  ,95.2945  ,36.9269  ,-98.4518  ,2.31311e+08
60042  ,93.3133  ,46.2727  ,-97.3725  ,2.31281e+08
10192  ,95.2775  ,36.9269  ,-98.6463  ,2.31273e+08
4491  ,93.3675  ,46.269  ,-97.2794  ,2.31227e+08
38719  ,93.9774  ,36.4084  ,-97.9849  ,2.31212e+08
72  ,93.9397  ,36.4068  ,-98.3333  ,2.31204e+08
26781  ,93.9938  ,36.4384  ,-99.2438  ,2.31114e+08
55462  ,93.1513  ,46.2808  ,-97.762  ,2.31098e+08
61415  ,94.2565  ,46.0618  ,-99.2668  ,2.31070e+08
21573  ,94.5164  ,46.0044  ,-98.2859  ,2.31052e+08
30306  ,94.4994  ,46.0044  ,-98.4802  ,2.30902e+08
13972  ,94.4273  ,46.0171  ,-98.8857  ,2.30865e+08
142  ,95.1855  ,36.8221  ,-97.4384  ,2.30836e+08
755  ,94.2045  ,46.0752  ,-99.3602  ,2.30810e+08
831  ,93.0386  ,46.2838  ,-98.2544  ,2.30759e+08
1063  ,93.0387  ,46.282  ,-98.7579  ,2.30716e+08
441  ,94.0294  ,36.4497  ,-99.3449  ,2.30598e+08
43689  ,93.8828  ,36.4009  ,-98.679  ,2.30380e+08
633  ,95.1446  ,36.8829  ,-99.2465  ,2.30379e+08
36768  ,93.8868  ,36.3971  ,-98.4266  ,2.30345e+08
23355  ,93.0556  ,46.2838  ,-98.06  ,2.30289e+08
17312  ,93.9038  ,36.3971  ,-98.2321  ,2.30275e+08
27011  ,95.3402  ,36.9354  ,-98.1022  ,2.30157e+08
20511  ,93.0211  ,46.2838  ,-98.4498  ,2.30155e+08
620  ,93.9582  ,36.4274  ,-99.1427  ,2.30152e+08
43775  ,95.0959  ,36.8615  ,-99.3403  ,2.30069e+08
10  ,12.2472  ,8.78254  ,-90.1823  ,2.30065e+08
24052  ,93.049  ,46.2809  ,-98.911  ,2.29977e+08
36516  ,94.5508  ,45.9891  ,-98.3867  ,2.29967e+08
15  ,12.0729  ,8.78254  ,-92.1747  ,2.29963e+08
